name, address,learning Curve/Easyness,'Fancy’ Output From The beginning,Mostly GPU based,Winowds,MacOS,Linux,Documentation,Open Source,"Science (strong Emphasis on openness, reproduceability, scientific methods)",Creativity(strong emphasis on expression),"Experimental (strong Emphasis on openness, encourages to expreiment)",Show Production (stable + feature-rich well suited for realtime video shows),Web,Procedural Geo,2D postPro,Audio Analysis,Computer Vision/Analysis,DMX/Artnet Support,Avg,Cost,Scripting/Additional Language(s),Reference Tutorial
TouchDesigner, https://www.derivative.ca/,0.8,0.8,1,1,1,0,0.8,0,0.7,1,0.9,1,0,0.9,1,0.8,0.2,1,0.298148148148148,Free*,Python/C++/GLSL,
Max_MSP_Jitter, https://cycling74.com/,0.8,0.7,0,1,1,0,0.8,0,0.7,0.9,0.9,0.7,0,0.7,0.6,1,0.7,0.5,0.285185185185185,$399.00,C++/js/java/GLSL,
vvvv, https://vvvv.org/,0.7,0.5,1,1,0,0,0.8,1,0.7,0.9,1,0.8,0,0.8,0.8,0.8,0.8,1,0.255555555555555,Free*,C#/GLSL,
Processing, https://processing.org/,0.5,0.5,0,1,1,1,0.7,1,0.8,0.6,0.9,0.7,0.8,0.7,0.7,0.8,0.8,0.5,0.177777777777778,Free,Java,https://www.openprocessing.org/sketch/425701
Unity, https://unity3d.com/,0.7,0.7,1,1,1,1,0.7,0,0.8,0.7,0.8,0.5,0.8,0.3,0.5,0.7,0,0.3,0.248148148148148,Free*,C#/GLSL,
Unreal, https://www.unrealengine.com,0.7,0.9,1,1,1,1,0.7,0,0.3,0.7,0.7,0.4,0.8,0.3,0.5,0.7,0,0.2,0.282098765432099,Free*,C++/js/GLSL,
KodeLife, https://hexler.net/software/kodelife,0.3,0,1,1,1,1,0,0,0.2,0.7,0.9,0.5,0,0.4,0.5,0.5,0,0,0.344444444444444,Free,GLSL,
openFrameworks, https://openframeworks.cc/,0.2,0,1,1,1,1,0.7,1,0.9,0.6,0.9,0.5,0,0.5,0.5,0.8,0.9,0.2,0.3,Free,C++,https://www.youtube.com/watch?v=IiTsE7P-GDs
smode, http://smode.fr/products/,0.8,0.7,1,1,1,0,0.8,0,0,1,0.7,0.8,0,0.8,1,0.5,0.5,1,0.318518518518519,Free*,,https://www.youtube.com/watch?time_continue=35&v=v9rres8-pDw
notch, https://www.notch.one/,0.8,0.7,1,1,0,0,0.8,0,0,1,0.7,1,0,0.9,1,0.5,0.5,1,0.359876543209877,£99 perpetual,,http://www.notch.one/learn/academy/
vizrt, http://www.vizrt.com/,?,,1,?,?,?,?,0,0,0.5,0.1,1,0,0.2,0.9,?,?,?,0.390123456790123,? $$$,,
watchout, https://www.dataton.com/products/watchout,?,,1,0,0,0,?,0,0,0.1,0,1,0,0.2,0.9,?,1,1,0.43469387755102,>10k$,,
cables.gl, https://cables.gl/,0.8,0.8,1,1,1,1,0.7,0,0.2,1,0.7,0,1,0.8,0.8,0.9,0.3,0,0.314814814814815,,,
MATLAB, https://www.mathworks.com/products/matlab.html,0.3,0,0,1,1,1,0.8,0,0.9,0.1,0.1,0.1,0,0.2,0.2,1,0.8,0,0.398148148148148,$$$,,
Python, https://www.python.org/,0.3,0,0,1,1,1,0.8,1,1,0.1,0.7,0.1,0.5,0.2,0.2,1,0.8,0,0.383333333333333,Free,,
pd/GEM,https://puredata.info/downloads/gem,0.5,0.1,0,1,1,1,0.8,1,0.8,0.2,0.7,0.1,0,0.3,0.3,1,0,0.8,0.366666666666667,Free,C++/GLSL,
Quarz Composer, https://developer.apple.com/library/archive/documentation/GraphicsImaging/Conceptual/QuartzComposerUserGuide/qc_intro/qc_intro.html,0.7,0.1,0,0,1,0,0.1,0,0.3,0.2,0.6,0.1,0,0.3,0.3,0.5,0,0.5,0.234567901234568,Free,,
